date,close
2014.05.04,0.86538
2014.05.05,0.86957
2014.05.06,0.86932
2014.05.07,0.86538
2014.05.08,0.86476
2014.05.11,0.86249
2014.05.12,0.86297
2014.05.13,0.86562
2014.05.14,0.86693
2014.05.15,0.86485
2014.05.18,0.86451
2014.05.19,0.86175
2014.05.21,0.85771
2014.05.22,0.85646
2014.05.25,0.85356
2014.05.26,0.85611
2014.05.27,0.85428
2014.05.28,0.84869
2014.05.29,0.85011
2014.06.02,0.84564
2014.06.03,0.84177
2014.06.04,0.84328
2014.06.05,0.84904
2014.06.08,0.85118
2014.06.09,0.85001
2014.06.10,0.85475
2014.06.11,0.86413
2014.06.12,0.86643
2014.06.15,0.86825
2014.06.16,0.86574
2014.06.18,0.87154
2014.06.19,0.87203
2014.06.22,0.87311
2014.06.23,0.87151
2014.06.24,0.86786
2014.06.25,0.87624
2014.06.26,0.87837
2014.06.29,0.87529
2014.06.30,0.87563
2014.07.01,0.87561
2014.07.02,0.87638
2014.07.03,0.87523
2014.07.06,0.87175
2014.07.07,0.87607
2014.07.08,0.87851
2014.07.09,0.88183
2014.07.10,0.88124
2014.07.13,0.88145
2014.07.14,0.88021
2014.07.15,0.8708
2014.07.16,0.86865
2014.07.17,0.86762
2014.07.20,0.87101
2014.07.21,0.86789
2014.07.22,0.86757
2014.07.23,0.85988
2014.07.24,0.8572
2014.07.27,0.85411
2014.07.28,0.85454
2014.07.29,0.851
2014.07.30,0.85033
2014.07.31,0.85023
2014.08.03,0.85129
2014.08.04,0.85156
2014.08.05,0.8434
2014.08.06,0.84731
2014.08.07,0.84428
2014.08.10,0.84671
2014.08.11,0.84182
2014.08.12,0.84235
2014.08.13,0.84631
2014.08.14,0.84819
2014.08.17,0.84979
2014.08.18,0.84387
2014.08.19,0.83783
2014.08.20,0.83569
2014.08.21,0.84019
2014.08.24,0.83488
2014.08.25,0.83425
2014.08.26,0.8361
2014.08.27,0.83872
2014.08.28,0.83638
2014.08.31,0.83733
2014.09.01,0.83497
2014.09.02,0.82906
2014.09.03,0.83218
2014.09.04,0.82834
2014.09.07,0.83202
2014.09.08,0.82547
2014.09.09,0.82448
2014.09.10,0.81935
2014.09.11,0.81669
2014.09.14,0.81424
2014.09.15,0.81762
2014.09.16,0.81792
2014.09.17,0.81076
2014.09.18,0.81308
2014.09.21,0.81574
2014.09.22,0.81102
2014.09.23,0.80776
2014.09.24,0.80028
2014.09.25,0.79253
2014.09.28,0.77462
2014.09.29,0.77991
2014.09.30,0.77773
2014.10.01,0.7883
2014.10.02,0.78649
2014.10.06,0.77978
2014.10.07,0.77913
2014.10.08,0.79408
2014.10.09,0.78651
2014.10.12,0.78708
2014.10.13,0.78973
2014.10.14,0.78384
2014.10.16,0.79288
2014.10.19,0.79483
2014.10.20,0.79831
2014.10.21,0.79791
2014.10.22,0.78528
2014.10.23,0.78342
2014.10.26,0.78774
2014.10.27,0.78993
2014.10.28,0.79216
2014.10.29,0.77914
2014.10.30,0.78435
2014.11.02,0.7777
2014.11.03,0.77373
2014.11.04,0.78194
2014.11.05,0.7726
2014.11.06,0.7664
2014.11.09,0.7789
2014.11.10,0.77381
2014.11.11,0.78223
2014.11.12,0.78756
2014.11.13,0.78447
2014.11.16,0.79647
2014.11.17,0.79407
2014.11.18,0.78668
2014.11.19,0.78386
2014.11.20,0.78818
2014.11.23,0.79
2014.11.24,0.78242
2014.11.25,0.78149
2014.11.26,0.79177
2014.11.27,0.78353
2014.11.30,0.78252
2014.12.01,0.78732
2014.12.02,0.77894
2014.12.03,0.77567
2014.12.07,0.76434
2014.12.08,0.76313
2014.12.09,0.77055
2014.12.10,0.78017
2014.12.11,0.78
2014.12.14,0.77466
2014.12.15,0.77406
2014.12.16,0.77379
2014.12.17,0.77142
2014.12.18,0.77937
2014.12.21,0.77483
2014.12.22,0.77343
2014.12.23,0.77266
2014.12.25,0.77428
2014.12.29,0.77817
2014.12.30,0.78396
